Gender,Course1,Course1,Course,Strand Code,Strand,,,,,Salary,GWA
Male      ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,NO CHOSEN COURSE,HUMSS,Humanities and Social Sciences (HUMSS),,,,,56537,78
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Electronics and Communications Engineering - BSECE,ABM,"Accountancy, Business and Management (ABM)",,,,,55830,85
Female    ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,61390,88
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,Undecided,HUMSS,Humanities and Social Sciences (HUMSS),,,,,89018,79
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,129613,79
Female    ,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,51377,100
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,21626,70
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,ICT,Information and Communications Technology (ICT),,,,,79323,91
Female    ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,64695,100
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Nursing - BSN,Not in the list,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,102056,86
Male      ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Nursing - BSN,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,67439,85
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Entrepreneurship - BSENT,ICT,Information and Communications Technology (ICT),,,,,36140,74
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,38386,72
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,Not in the list,HE,Home Economics (HE),,,,,24160,87
Female    ,Bachelor of Science in Nursing - BSN,Undecided,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,121443,97
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Computer Science - BSCS,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,114552,75
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,51765,76
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Nursing - BSN,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,97231,72
Female    ,Bachelor of Science in Hospitality Management - BSHM,NO CHOSEN COURSE,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,115932,70
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,47394,97
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,54620,97
Male      ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,38209,79
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,114704,89
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,25899,90
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,111763,87
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,64120,86
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Information Technology - BSIT,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,72716,76
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,59441,96
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,71190,86
Female    ,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,73805,93
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Computer Science - BSCS,ICT,Information and Communications Technology (ICT),,,,,21683,71
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,43865,78
Female    ,Bachelor of Science in Hospitality Management - BSHM,NO CHOSEN COURSE,NO CHOSEN COURSE,HE,Home Economics (HE),,,,,11172,89
Female    ,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,104826,82
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Arts in Psychology - AB PSYCHOLOGY,ICT,Information and Communications Technology (ICT),,,,,90438,76
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,ABM,"Accountancy, Business and Management (ABM)",,,,,85356,84
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,18098,89
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Science in Information Technology - BSIT,HUMSS,Humanities and Social Sciences (HUMSS),,,,,71812,75
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Nursing - BSN,ABM,"Accountancy, Business and Management (ABM)",,,,,15992,87
Male      ,Bachelor of Science in Nursing - BSN,Undecided,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,90214,98
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Nursing - BSN,ABM,"Accountancy, Business and Management (ABM)",,,,,38365,86
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,71609,95
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,HUMSS,Humanities and Social Sciences (HUMSS),,,,,88066,78
Female    ,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,98593,84
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,128292,77
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in English - BSED ENGLISH,ABM,"Accountancy, Business and Management (ABM)",,,,,89492,94
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Undecided,HE,Home Economics (HE),,,,,50747,88
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Hospitality Management - BSHM,HE,Home Economics (HE),,,,,38319,84
Female    ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,Undecided,GA,General Academic (GA) ,,,,,84851,95
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,12777,71
Male      ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,76738,89
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,114725,78
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,96510,73
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,41320,81
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Hospitality Management - BSHM,Not in the list,ICT,Information and Communications Technology (ICT),,,,,92788,84
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Accountancy - BSA,ICT,Information and Communications Technology (ICT),,,,,90966,97
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,11126,87
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,37547,90
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Elementary Education - BEED,Bachelor of Arts in Psychology - AB PSYCHOLOGY,HUMSS,Humanities and Social Sciences (HUMSS),,,,,90640,73
Female    ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,36870,93
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,124485,79
Male      ,Bachelor of Science in Information Technology - BSIT,Undecided,Undecided,ICT,Information and Communications Technology (ICT),,,,,102886,83
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Secondary Education major in English - BSED ENGLISH,Not in the list,ICT,Information and Communications Technology (ICT),,,,,33200,80
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Nursing - BSN,Bachelor of Science in Information Technology - BSIT,HE,Home Economics (HE),,,,,79740,83
Male      ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,58802,80
Male      ,Bachelor of Science in Accountancy - BSA,Not in the list,NO CHOSEN COURSE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,72608,78
Female    ,Bachelor of Science in Nursing - BSN,Not in the list,Not in the list,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,107078,73
Male      ,Bachelor of Science in Hospitality Management - BSHM,Undecided,Undecided,HE,Home Economics (HE),,,,,93195,80
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,32178,96
Female    ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Nursing - BSN,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,114343,91
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,80523,79
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,70669,94
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,32888,76
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Not in the list,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,82777,100
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,84329,80
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Electronics and Communications Engineering - BSECE,ICT,Information and Communications Technology (ICT),,,,,98722,93
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Nursing - BSN,Bachelor of Science in Accountancy - BSA,HUMSS,Humanities and Social Sciences (HUMSS),,,,,58214,99
Male      ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,75171,97
Male      ,Bachelor of Science in Computer Science - BSCS,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,125979,100
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,108900,76
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,21738,77
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Arts in Psychology - AB PSYCHOLOGY,ABM,"Accountancy, Business and Management (ABM)",,,,,78511,99
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Business Administration major in Marketing - BSBA,Not in the list,ICT,Information and Communications Technology (ICT),,,,,49934,95
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Nursing - BSN,Bachelor of Science in Entrepreneurship - BSENT,HUMSS,Humanities and Social Sciences (HUMSS),,,,,51928,72
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,108899,70
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,117394,81
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,49598,92
Male      ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,122048,70
Male      ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Arts in Psychology - AB PSYCHOLOGY,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,91164,81
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,40904,83
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,111329,77
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,46568,77
Male      ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,ABM,"Accountancy, Business and Management (ABM)",,,,,86952,93
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,25138,75
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Computer Science - BSCS,ICT,Information and Communications Technology (ICT),,,,,14689,90
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Hospitality Management - BSHM,HUMSS,Humanities and Social Sciences (HUMSS),,,,,22037,89
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,123286,93
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Science in Nursing - BSN,HE,Home Economics (HE),,,,,88030,74
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,GA,General Academic (GA) ,,,,,99219,76
Male      ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,28965,94
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,41389,85
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,74507,90
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HE,Home Economics (HE),,,,,41849,93
Male      ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,NO CHOSEN ,NO CHOSEN STRAND,,,,,89799,100
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,60431,76
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,27378,82
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Nursing - BSN,Bachelor of Science in Hospitality Management - BSHM,HUMSS,Humanities and Social Sciences (HUMSS),,,,,107177,80
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,96119,77
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Accountancy - BSA,ABM,"Accountancy, Business and Management (ABM)",,,,,28841,71
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,Undecided,HUMSS,Humanities and Social Sciences (HUMSS),,,,,44169,79
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Secondary Education major in English - BSED ENGLISH,ICT,Information and Communications Technology (ICT),,,,,28441,97
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in Mathematics - BSED MATH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,84065,92
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,24260,76
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,ICT,Information and Communications Technology (ICT),,,,,82898,95
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Elementary Education - BEED,Bachelor of Science in Nursing - BSN,HUMSS,Humanities and Social Sciences (HUMSS),,,,,101321,81
Male      ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,97767,76
Male      ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,27774,100
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Secondary Education major in Mathematics - BSED MATH,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,122741,90
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Science in Accountancy - BSA,HE,Home Economics (HE),,,,,126079,79
Female    ,Bachelor of Science in Hospitality Management - BSHM,Undecided,Undecided,ABM,"Accountancy, Business and Management (ABM)",,,,,127831,72
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,ICT,Information and Communications Technology (ICT),,,,,118687,77
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Business Administration major in Marketing - BSBA,ABM,"Accountancy, Business and Management (ABM)",,,,,86406,92
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,108208,81
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Computer Science - BSCS,HE,Home Economics (HE),,,,,127213,78
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Business Administration major in Marketing - BSBA,ABM,"Accountancy, Business and Management (ABM)",,,,,72700,92
Male      ,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,104387,91
Male      ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,Bachelor of Arts in Psychology - AB PSYCHOLOGY,HUMSS,Humanities and Social Sciences (HUMSS),,,,,44095,94
